event,file_size,storage_mode,max_erasures,time
erasure_write,10000,erasure_coding_rs,1,0.005834341049194336
finished,10000,erasure_coding_rs,1,0.008670568466186523
erasure_write,10000,erasure_coding_rs,1,0.007140636444091797
finished,10000,erasure_coding_rs,1,0.008651971817016602
erasure_write,10000,erasure_coding_rs,1,0.005942106246948242
finished,10000,erasure_coding_rs,1,0.00723576545715332
erasure_write,10000,erasure_coding_rs,1,0.005784034729003906
finished,10000,erasure_coding_rs,1,0.006724834442138672
erasure_write,10000,erasure_coding_rs,1,0.004733085632324219
finished,10000,erasure_coding_rs,1,0.005660295486450195
erasure_write,10000,erasure_coding_rs,1,0.004897594451904297
finished,10000,erasure_coding_rs,1,0.00579524040222168
erasure_write,10000,erasure_coding_rs,1,0.004925727844238281
finished,10000,erasure_coding_rs,1,0.005836009979248047
erasure_write,10000,erasure_coding_rs,1,0.004958629608154297
finished,10000,erasure_coding_rs,1,0.0058977603912353516
erasure_write,10000,erasure_coding_rs,1,0.004923582077026367
finished,10000,erasure_coding_rs,1,0.0060956478118896484
erasure_write,10000,erasure_coding_rs,1,0.004854679107666016
finished,10000,erasure_coding_rs,1,0.005776643753051758
erasure_write,10000,erasure_coding_rs,1,0.006022214889526367
finished,10000,erasure_coding_rs,1,0.007271528244018555
erasure_write,10000,erasure_coding_rs,1,0.005259275436401367
finished,10000,erasure_coding_rs,1,0.006170988082885742
erasure_write,10000,erasure_coding_rs,1,0.0064160823822021484
finished,10000,erasure_coding_rs,1,0.007900476455688477
erasure_write,10000,erasure_coding_rs,1,0.0048983097076416016
finished,10000,erasure_coding_rs,1,0.005955219268798828
erasure_write,10000,erasure_coding_rs,1,0.004848957061767578
finished,10000,erasure_coding_rs,1,0.005735874176025391
erasure_write,10000,erasure_coding_rs,1,0.007306814193725586
finished,10000,erasure_coding_rs,1,0.00899648666381836
erasure_write,10000,erasure_coding_rs,1,0.007462978363037109
finished,10000,erasure_coding_rs,1,0.008640527725219727
erasure_write,10000,erasure_coding_rs,1,0.0058972835540771484
finished,10000,erasure_coding_rs,1,0.006840229034423828
erasure_write,10000,erasure_coding_rs,1,0.005695343017578125
finished,10000,erasure_coding_rs,1,0.006818532943725586
erasure_write,10000,erasure_coding_rs,1,0.0049381256103515625
finished,10000,erasure_coding_rs,1,0.005955696105957031
erasure_write,10000,erasure_coding_rs,1,0.005632638931274414
finished,10000,erasure_coding_rs,1,0.006880283355712891
erasure_write,10000,erasure_coding_rs,1,0.004801511764526367
finished,10000,erasure_coding_rs,1,0.005735635757446289
erasure_write,10000,erasure_coding_rs,1,0.005055665969848633
finished,10000,erasure_coding_rs,1,0.006010770797729492
erasure_write,10000,erasure_coding_rs,1,0.004797458648681641
finished,10000,erasure_coding_rs,1,0.005702018737792969
erasure_write,10000,erasure_coding_rs,1,0.005586862564086914
finished,10000,erasure_coding_rs,1,0.006510496139526367
erasure_write,10000,erasure_coding_rs,1,0.0050814151763916016
finished,10000,erasure_coding_rs,1,0.006001949310302734
erasure_write,10000,erasure_coding_rs,1,0.00592494010925293
finished,10000,erasure_coding_rs,1,0.00701594352722168
erasure_write,10000,erasure_coding_rs,1,0.004821300506591797
finished,10000,erasure_coding_rs,1,0.005735635757446289
erasure_write,10000,erasure_coding_rs,1,0.004727363586425781
finished,10000,erasure_coding_rs,1,0.0056722164154052734
erasure_write,10000,erasure_coding_rs,1,0.0048105716705322266
finished,10000,erasure_coding_rs,1,0.005686759948730469
erasure_write,10000,erasure_coding_rs,1,0.004922151565551758
finished,10000,erasure_coding_rs,1,0.0058078765869140625
erasure_write,10000,erasure_coding_rs,1,0.005340099334716797
finished,10000,erasure_coding_rs,1,0.006307363510131836
erasure_write,10000,erasure_coding_rs,1,0.004781961441040039
finished,10000,erasure_coding_rs,1,0.005692005157470703
erasure_write,10000,erasure_coding_rs,1,0.006058692932128906
finished,10000,erasure_coding_rs,1,0.006955146789550781
erasure_write,10000,erasure_coding_rs,1,0.005251884460449219
finished,10000,erasure_coding_rs,1,0.0064013004302978516
erasure_write,10000,erasure_coding_rs,1,0.005467653274536133
finished,10000,erasure_coding_rs,1,0.007169485092163086
erasure_write,10000,erasure_coding_rs,1,0.005651712417602539
finished,10000,erasure_coding_rs,1,0.006794929504394531
erasure_write,10000,erasure_coding_rs,1,0.0048711299896240234
finished,10000,erasure_coding_rs,1,0.0058329105377197266
erasure_write,10000,erasure_coding_rs,1,0.004884481430053711
finished,10000,erasure_coding_rs,1,0.005873441696166992
erasure_write,10000,erasure_coding_rs,1,0.005265474319458008
finished,10000,erasure_coding_rs,1,0.00620579719543457
erasure_write,10000,erasure_coding_rs,1,0.005043983459472656
finished,10000,erasure_coding_rs,1,0.006159067153930664
erasure_write,10000,erasure_coding_rs,1,0.0047609806060791016
finished,10000,erasure_coding_rs,1,0.005703926086425781
erasure_write,10000,erasure_coding_rs,1,0.005083799362182617
finished,10000,erasure_coding_rs,1,0.0061762332916259766
erasure_write,10000,erasure_coding_rs,1,0.004656553268432617
finished,10000,erasure_coding_rs,1,0.005551815032958984
erasure_write,10000,erasure_coding_rs,1,0.005455493927001953
finished,10000,erasure_coding_rs,1,0.006418704986572266
erasure_write,10000,erasure_coding_rs,1,0.0047605037689208984
finished,10000,erasure_coding_rs,1,0.005783557891845703
erasure_write,10000,erasure_coding_rs,1,0.005793333053588867
finished,10000,erasure_coding_rs,1,0.006797313690185547
erasure_write,10000,erasure_coding_rs,1,0.0055310726165771484
finished,10000,erasure_coding_rs,1,0.006430864334106445
erasure_write,10000,erasure_coding_rs,1,0.004938364028930664
finished,10000,erasure_coding_rs,1,0.005926847457885742
erasure_write,10000,erasure_coding_rs,1,0.004882097244262695
finished,10000,erasure_coding_rs,1,0.005760908126831055
erasure_write,100000,erasure_coding_rs,1,0.005579710006713867
finished,100000,erasure_coding_rs,1,0.0065152645111083984
erasure_write,100000,erasure_coding_rs,1,0.00619959831237793
finished,100000,erasure_coding_rs,1,0.007563352584838867
erasure_write,100000,erasure_coding_rs,1,0.005498409271240234
finished,100000,erasure_coding_rs,1,0.006452083587646484
erasure_write,100000,erasure_coding_rs,1,0.006087064743041992
finished,100000,erasure_coding_rs,1,0.007074832916259766
erasure_write,100000,erasure_coding_rs,1,0.005299091339111328
finished,100000,erasure_coding_rs,1,0.006228208541870117
erasure_write,100000,erasure_coding_rs,1,0.005329608917236328
finished,100000,erasure_coding_rs,1,0.006321907043457031
erasure_write,100000,erasure_coding_rs,1,0.005550861358642578
finished,100000,erasure_coding_rs,1,0.0065460205078125
erasure_write,100000,erasure_coding_rs,1,0.005399465560913086
finished,100000,erasure_coding_rs,1,0.006299734115600586
erasure_write,100000,erasure_coding_rs,1,0.0053577423095703125
finished,100000,erasure_coding_rs,1,0.00631403923034668
erasure_write,100000,erasure_coding_rs,1,0.005890369415283203
finished,100000,erasure_coding_rs,1,0.007061958312988281
erasure_write,100000,erasure_coding_rs,1,0.0053479671478271484
finished,100000,erasure_coding_rs,1,0.006270885467529297
erasure_write,100000,erasure_coding_rs,1,0.005884885787963867
finished,100000,erasure_coding_rs,1,0.006850004196166992
erasure_write,100000,erasure_coding_rs,1,0.006062030792236328
finished,100000,erasure_coding_rs,1,0.007221221923828125
erasure_write,100000,erasure_coding_rs,1,0.005705118179321289
finished,100000,erasure_coding_rs,1,0.006627798080444336
erasure_write,100000,erasure_coding_rs,1,0.005596160888671875
finished,100000,erasure_coding_rs,1,0.006522178649902344
erasure_write,100000,erasure_coding_rs,1,0.005359649658203125
finished,100000,erasure_coding_rs,1,0.0062792301177978516
erasure_write,100000,erasure_coding_rs,1,0.005840778350830078
finished,100000,erasure_coding_rs,1,0.006814479827880859
erasure_write,100000,erasure_coding_rs,1,0.005789041519165039
finished,100000,erasure_coding_rs,1,0.006683349609375
erasure_write,100000,erasure_coding_rs,1,0.005440473556518555
finished,100000,erasure_coding_rs,1,0.006366729736328125
erasure_write,100000,erasure_coding_rs,1,0.006753206253051758
finished,100000,erasure_coding_rs,1,0.007702827453613281
erasure_write,100000,erasure_coding_rs,1,0.0052297115325927734
finished,100000,erasure_coding_rs,1,0.006222724914550781
erasure_write,100000,erasure_coding_rs,1,0.006099700927734375
finished,100000,erasure_coding_rs,1,0.007194042205810547
erasure_write,100000,erasure_coding_rs,1,0.005473136901855469
finished,100000,erasure_coding_rs,1,0.0063817501068115234
erasure_write,100000,erasure_coding_rs,1,0.007740497589111328
finished,100000,erasure_coding_rs,1,0.009116411209106445
